Class	Sentence	pos_tags
NomAnaph	She  missed  it  yesterday  at  lunch-time,  sir,  and  told  me  to  look  carefully  for  it. 	She/PRP missed/VBD it/PRP yesterday/NN at/IN lunch-time/JJ ,/, sir/NN ,/, and/CC told/VBD me/PRP to/TO look/VB carefully/RB for/IN it/PRP ./.
NomAnaph	She  missed  it  yesterday  at  lunch-time,  sir,  and  told  me  to  look  carefully  for  it. 	She/PRP missed/VBD it/PRP yesterday/NN at/IN lunch-time/JJ ,/, sir/NN ,/, and/CC told/VBD me/PRP to/TO look/VB carefully/RB for/IN it/PRP ./.
NomAnaph	She  was  very  much  put  out  about  it. 	She/PRP was/VBD very/RB much/JJ put/VBN out/RP about/IN it/PRP ./.
NomAnaph	That's  it,  sir,  right  enough. 	That/DT 's/VBZ it/PRP ,/, sir/RB ,/, right/RB enough/RB ./.
NomAnaph	I  looked  everywhere  for  it. 	I/PRP looked/VBD everywhere/RB for/IN it/PRP ./.
NomAnaph	Ah,  but  you  see  it  was  not  in  the  same  place  yesterday  as  it  was  today. 	Ah/NNP ,/, but/CC you/PRP see/VBP it/PRP was/VBD not/RB in/IN the/DT same/JJ place/NN yesterday/NN as/IN it/PRP was/VBD today/NN ./.
NomAnaph	poirot  delicately  dipped  his  finger  into  liquid,  and  tasted  it  gingerly. 	poirot/NN delicately/RB dipped/VBD his/PRP$ finger/NN into/IN liquid/NN ,/, and/CC tasted/VBD it/PRP gingerly/RB ./.
NomAnaph	Five,  we  had,  before  the  war,  when  it  was  kept  as  a  gentleman's  place  should  be. 	Five/CD ,/, we/PRP had/VBD ,/, before/IN the/DT war/NN ,/, when/WRB it/PRP was/VBD kept/VBN as/IN a/DT gentleman/NN 's/POS place/NN should/MD be/VB ./.
NomAnaph	I  wish  you  could  have  seen  it  then,  sir. 	I/PRP wish/VBP you/PRP could/MD have/VB seen/VBN it/PRP then/RB ,/, sir/NN ./.
NomAnaph	A  fair  sight  it  was. 	A/DT fair/JJ sight/NN it/PRP was/VBD ./.
NomAnaph	It  was  Number  Six  of  my  catalogue. 	It/PRP was/VBD Number/NNP Six/NNP of/IN my/PRP$ catalogue/NN ./.
NomAnaph	But  I  suppose,  as  the  last  powder  was  taken  two  days  ago,  it  is  not  of  much  importance? 	But/CC I/PRP suppose/VBP ,/, as/IN the/DT last/JJ powder/NN was/VBD taken/VBN two/CD days/NNS ago/RB ,/, it/PRP is/VBZ not/RB of/IN much/JJ importance/NN ?/.
NomAnaph	I  examined  it  closely. 	I/PRP examined/VBD it/PRP closely/RB ./.
NomAnaph	It  does  not  matter,  said  Poirot,  not  betraying  any  sign  of  disappointment. 	It/PRP does/VBZ not/RB matter/VB ,/, said/VBD Poirot/NNP ,/, not/RB betraying/VBG any/DT sign/NN of/IN disappointment/NN ./.
NomAnaph	Yes,  sir,  it  was  put  in  her  room  every  evening,  and  she  warmed  it  up  in  the  night...whenever  she  fancied  it. 	Yes/UH ,/, sir/JJ ,/, it/PRP was/VBD put/VBN in/IN her/PRP$ room/NN every/DT evening/NN ,/, and/CC she/PRP warmed/VBD it/PRP up/RP in/IN the/DT night/NN .../: whenever/WRB she/PRP fancied/VBD it/PRP ./.
NomAnaph	Yes,  sir,  it  was  put  in  her  room  every  evening,  and  she  warmed  it  up  in  the  night...whenever  she  fancied  it. 	Yes/UH ,/, sir/JJ ,/, it/PRP was/VBD put/VBN in/IN her/PRP$ room/NN every/DT evening/NN ,/, and/CC she/PRP warmed/VBD it/PRP up/RP in/IN the/DT night/NN .../: whenever/WRB she/PRP fancied/VBD it/PRP ./.
NomAnaph	What  was  it? 	What/WP was/VBD it/PRP ?/.
NomAnaph	Who  took  it  to  her  room? 	Who/WP took/VBD it/PRP to/TO her/PRP$ room/NN ?/.
NomAnaph	Did  you  bring  it  straight  up  from  the  kitchen  then? 	Did/NNP you/PRP bring/VB it/PRP straight/VBD up/RP from/IN the/DT kitchen/NN then/RB ?/.
NomAnaph	No,  sir,  you  see  there's  not  much  room  on  the  gas  stove,  so  Cook  used  to  make  it  early,  before  putting  the  vegetables  on  for  supper. 	No/DT ,/, sir/RB ,/, you/PRP see/VBP there/EX 's/VBZ not/RB much/JJ room/NN on/IN the/DT gas/NN stove/NN ,/, so/RB Cook/NNP used/VBD to/TO make/VB it/PRP early/JJ ,/, before/IN putting/VBG the/DT vegetables/NNS on/IN for/IN supper/NN ./.
NomAnaph	Then  I  used  to  bring  it  up,  and  put  it  on  the  table  by  the  swing  door,  and  take  it  into  her  room  later. 	Then/RB I/PRP used/VBD to/TO bring/VB it/PRP up/RP ,/, and/CC put/VBD it/PRP on/IN the/DT table/NN by/IN the/DT swing/NN door/NN ,/, and/CC take/VB it/PRP into/IN her/PRP$ room/NN later/RB ./.
NomAnaph	Then  I  used  to  bring  it  up,  and  put  it  on  the  table  by  the  swing  door,  and  take  it  into  her  room  later. 	Then/RB I/PRP used/VBD to/TO bring/VB it/PRP up/RP ,/, and/CC put/VBD it/PRP on/IN the/DT table/NN by/IN the/DT swing/NN door/NN ,/, and/CC take/VB it/PRP into/IN her/PRP$ room/NN later/RB ./.
NomAnaph	Then  I  used  to  bring  it  up,  and  put  it  on  the  table  by  the  swing  door,  and  take  it  into  her  room  later. 	Then/RB I/PRP used/VBD to/TO bring/VB it/PRP up/RP ,/, and/CC put/VBD it/PRP on/IN the/DT table/NN by/IN the/DT swing/NN door/NN ,/, and/CC take/VB it/PRP into/IN her/PRP$ room/NN later/RB ./.
NomAnaph	The  swing  door  is  in  the  left  wing,  is  it  not? 	The/DT swing/NN door/NN is/VBZ in/IN the/DT left/NN wing/NN ,/, is/VBZ it/PRP not/RB ?/.
NomAnaph	And  the  table,  is  it  on  this  side  of  the  door,  or  on  the  farther...servants'  side? 	And/CC the/DT table/NN ,/, is/VBZ it/PRP on/IN this/DT side/NN of/IN the/DT door/NN ,/, or/CC on/IN the/DT farther/NN .../: servants/NNS '/POS side/NN ?/.
NomAnaph	What  time  did  you  bring  it  up  last  night? 	What/WP time/NN did/VBD you/PRP bring/VB it/PRP up/RP last/JJ night/NN ?/.
NomAnaph	And  when  did  you  take  it  into  Mr.s.  Inglethorp's  room? 	And/CC when/WRB did/VBD you/PRP take/VB it/PRP into/IN Mr.s/NNP ./. Inglethorp/NNP 's/POS room/NN ?/.
NomAnaph	Annie  had  been  growing  redder  and  redder  in  the  face,  and  now  she  blurted  out  unexpectedly:  And  if  there  was  salt  in  it,  sir,  it  wasn't  me. 	Annie/NNP had/VBD been/VBN growing/VBG redder/NN and/CC redder/NN in/IN the/DT face/NN ,/, and/CC now/RB she/PRP blurted/VBD out/RP unexpectedly/RB :/: And/CC if/IN there/EX was/VBD salt/NN in/IN it/PRP ,/, sir/VBZ ,/, it/PRP was/VBD n't/RB me/PRP ./.
NomAnaph	What  makes  you  think  there  was  salt  in  it?  asked  Poirot. 	What/WP makes/VBZ you/PRP think/VBP there/EX was/VBD salt/NN in/IN it/PRP ?/. asked/VBD Poirot/NNP ./.
NomAnaph	Seeing  it  on  the  tray,  sir. 	Seeing/VBG it/PRP on/IN the/DT tray/NN ,/, sir/NN ./.
NomAnaph	Coarse  kitchen  salt,  it  looked. 	Coarse/NNP kitchen/NN salt/NN ,/, it/PRP looked/VBD ./.
NomAnaph	I  never  noticed  it  when  I  took  the  tray  up,  but  when  I  came  to  take  it  into  the  mistress's  room  I  saw  it  at  once,  and  I  suppose  I  ought  to  have  taken  it  down  again,  and  asked  Cook  to  make  some  fresh. 	I/PRP never/RB noticed/VBD it/PRP when/WRB I/PRP took/VBD the/DT tray/NN up/RB ,/, but/CC when/WRB I/PRP came/VBD to/TO take/VB it/PRP into/IN the/DT mistress/NN 's/POS room/NN I/PRP saw/VBD it/PRP at/IN once/RB ,/, and/CC I/PRP suppose/VBP I/PRP ought/MD to/TO have/VB taken/VBN it/PRP down/RP again/RB ,/, and/CC asked/VBD Cook/NNP to/TO make/VB some/DT fresh/JJ ./.
NomAnaph	I  never  noticed  it  when  I  took  the  tray  up,  but  when  I  came  to  take  it  into  the  mistress's  room  I  saw  it  at  once,  and  I  suppose  I  ought  to  have  taken  it  down  again,  and  asked  Cook  to  make  some  fresh. 	I/PRP never/RB noticed/VBD it/PRP when/WRB I/PRP took/VBD the/DT tray/NN up/RB ,/, but/CC when/WRB I/PRP came/VBD to/TO take/VB it/PRP into/IN the/DT mistress/NN 's/POS room/NN I/PRP saw/VBD it/PRP at/IN once/RB ,/, and/CC I/PRP suppose/VBP I/PRP ought/MD to/TO have/VB taken/VBN it/PRP down/RP again/RB ,/, and/CC asked/VBD Cook/NNP to/TO make/VB some/DT fresh/JJ ./.
NomAnaph	I  never  noticed  it  when  I  took  the  tray  up,  but  when  I  came  to  take  it  into  the  mistress's  room  I  saw  it  at  once,  and  I  suppose  I  ought  to  have  taken  it  down  again,  and  asked  Cook  to  make  some  fresh. 	I/PRP never/RB noticed/VBD it/PRP when/WRB I/PRP took/VBD the/DT tray/NN up/RB ,/, but/CC when/WRB I/PRP came/VBD to/TO take/VB it/PRP into/IN the/DT mistress/NN 's/POS room/NN I/PRP saw/VBD it/PRP at/IN once/RB ,/, and/CC I/PRP suppose/VBP I/PRP ought/MD to/TO have/VB taken/VBN it/PRP down/RP again/RB ,/, and/CC asked/VBD Cook/NNP to/TO make/VB some/DT fresh/JJ ./.
NomAnaph	I  never  noticed  it  when  I  took  the  tray  up,  but  when  I  came  to  take  it  into  the  mistress's  room  I  saw  it  at  once,  and  I  suppose  I  ought  to  have  taken  it  down  again,  and  asked  Cook  to  make  some  fresh. 	I/PRP never/RB noticed/VBD it/PRP when/WRB I/PRP took/VBD the/DT tray/NN up/RB ,/, but/CC when/WRB I/PRP came/VBD to/TO take/VB it/PRP into/IN the/DT mistress/NN 's/POS room/NN I/PRP saw/VBD it/PRP at/IN once/RB ,/, and/CC I/PRP suppose/VBP I/PRP ought/MD to/TO have/VB taken/VBN it/PRP down/RP again/RB ,/, and/CC asked/VBD Cook/NNP to/TO make/VB some/DT fresh/JJ ./.
NomAnaph	So  I  dusted  it  off  with  my  apron,  and  took  it  in. 	So/RB I/PRP dusted/VBD it/PRP off/RP with/IN my/PRP$ apron/NN ,/, and/CC took/VBD it/PRP in/IN ./.
NomAnaph	So  I  dusted  it  off  with  my  apron,  and  took  it  in. 	So/RB I/PRP dusted/VBD it/PRP off/RP with/IN my/PRP$ apron/NN ,/, and/CC took/VBD it/PRP in/IN ./.
NomAnaph	I  awaited  his  next  question  with  impatience,  but  it  disappointed  me. 	I/PRP awaited/VBD his/PRP$ next/JJ question/NN with/IN impatience/NN ,/, but/CC it/PRP disappointed/VBD me/PRP ./.
NomAnaph	Yes,  sir;  it  always  was. 	Yes/UH ,/, sir/NN ;/: it/PRP always/RB was/VBD ./.
NomAnaph	It  had  never  been  opened. 	It/PRP had/VBD never/RB been/VBN opened/VBN ./.
NomAnaph	I  couldn't  rightly  say,  sir;  it  was  shut  but  I  couldn't  say  whether  it  was  bolted  or  not. 	I/PRP could/MD n't/RB rightly/VB say/VB ,/, sir/FW ;/: it/PRP was/VBD shut/VBN but/CC I/PRP could/MD n't/RB say/VB whether/IN it/PRP was/VBD bolted/VBN or/CC not/RB ./.
NomAnaph	I  couldn't  rightly  say,  sir;  it  was  shut  but  I  couldn't  say  whether  it  was  bolted  or  not. 	I/PRP could/MD n't/RB rightly/VB say/VB ,/, sir/FW ;/: it/PRP was/VBD shut/VBN but/CC I/PRP could/MD n't/RB say/VB whether/IN it/PRP was/VBD bolted/VBN or/CC not/RB ./.
NomAnaph	She  usually  did  lock  it  at  night. 	She/PRP usually/RB did/VBD lock/VB it/PRP at/IN night/NN ./.
NomAnaph	Yes,  sir,  and  I  would  have  taken  it  out  with  a  piece  of  blotting-paper  and  a  hot  iron. 	Yes/UH ,/, sir/JJ ,/, and/CC I/PRP would/MD have/VB taken/VBN it/PRP out/RP with/IN a/DT piece/NN of/IN blotting-paper/NN and/CC a/DT hot/JJ iron/NN ./.
NomAnaph	That  salt  on  the  tray,  what  else  could  it  have  been? 	That/DT salt/NN on/IN the/DT tray/NN ,/, what/WP else/RB could/MD it/PRP have/VB been/VBN ?/.
NomAnaph	It  might  have  been  salt,  replied  Poirot  placidly. 	It/PRP might/MD have/VB been/VBN salt/VBN ,/, replied/VBD Poirot/NNP placidly/RB ./.
NomAnaph	It  is  not  the  key,  but  it  will  open  it  at  a  pinch. 	It/PRP is/VBZ not/RB the/DT key/NN ,/, but/CC it/PRP will/MD open/VB it/PRP at/IN a/DT pinch/NN ./.
NomAnaph	It  is  not  the  key,  but  it  will  open  it  at  a  pinch. 	It/PRP is/VBZ not/RB the/DT key/NN ,/, but/CC it/PRP will/MD open/VB it/PRP at/IN a/DT pinch/NN ./.
NomAnaph	It  did  not  yield  much. 	It/PRP did/VBD not/RB yield/VB much/RB ./.
NomAnaph	He  pulled  a  crumpled  envelope  out  of  his  pocket,  and  tossed  it  over  to  me. 	He/PRP pulled/VBD a/DT crumpled/VBN envelope/NN out/IN of/IN his/PRP$ pocket/NN ,/, and/CC tossed/VBD it/PRP over/IN to/TO me/PRP ./.
NomAnaph	It  was  rather  a  curious  document. 	It/PRP was/VBD rather/RB a/DT curious/JJ document/NN ./.
NomAnaph	A  plain,  dirty  looking  old  envelope  with  a  few  words  scrawled  across  it,  apparently  at  random. 	A/DT plain/NN ,/, dirty/NN looking/VBG old/JJ envelope/NN with/IN a/DT few/JJ words/NNS scrawled/VBN across/IN it/PRP ,/, apparently/RB at/IN random/NN ./.
NomAnaph	The  following  is  a  facsimile  of  it. 	The/DT following/NN is/VBZ a/DT facsimile/NN of/IN it/PRP ./.
NomAnaph	Yes,  it  is  Mr.s.  Inglethorp's. 	Yes/UH ,/, it/PRP is/VBZ Mr.s/NNP ./. Inglethorp/NNP 's/POS ./.
NomAnaph	But  what  does  it  mean? 	But/CC what/WP does/VBZ it/PRP mean/VB ?/.
NomAnaph	I  cannot  say...but  it  is  suggestive. 	I/PRP can/MD not/RB say/VB .../: but/CC it/PRP is/VBZ suggestive/JJ ./.
ClauseAnaph	Is  it  a  bargain? 	Is/VBZ it/PRP a/DT bargain/NN ?/.
NomAnaph	I  saw  him  put  it  down  there. 	I/PRP saw/VBD him/PRP put/VB it/PRP down/RP there/RB ./.
NomAnaph	I  suppose  you  are  quite  sure  that  the  latch-key  was  forgotten...that  he  did  not  take  it  after  all? 	I/PRP suppose/VBP you/PRP are/VBP quite/JJ sure/JJ that/IN the/DT latch-key/NN was/VBD forgotten/VBN .../: that/IN he/PRP did/VBD not/RB take/VB it/PRP after/IN all/DT ?/.
NomAnaph	We  always  keep  it  in  the  hall  drawer. 	We/PRP always/RB keep/VB it/PRP in/IN the/DT hall/NN drawer/NN ./.
NomAnaph	I'll  go  and  see  if  it's  there  now. 	I/PRP 'll/MD go/VB and/CC see/VB if/IN it/PRP 's/VBZ there/RB now/RB ./.
NomAnaph	I  am  certain  that  you  would  find  it. 	I/PRP am/VBP certain/JJ that/IN you/PRP would/MD find/VB it/PRP ./.
NomAnaph	If  Mr.  Inglethorp  did  take  it,  he  has  had  ample  time  to  replace  it  by  now. 	If/IN Mr./NNP Inglethorp/NNP did/VBD take/VB it/PRP ,/, he/PRP has/VBZ had/VBN ample/JJ time/NN to/TO replace/VB it/PRP by/IN now/RB ./.
NomAnaph	If  Mr.  Inglethorp  did  take  it,  he  has  had  ample  time  to  replace  it  by  now. 	If/IN Mr./NNP Inglethorp/NNP did/VBD take/VB it/PRP ,/, he/PRP has/VBZ had/VBN ample/JJ time/NN to/TO replace/VB it/PRP by/IN now/RB ./.
NomAnaph	If  anyone  had  chanced  to  look  this  morning  before  his  return,  and  seen  it  there,  it  would  have  been  a  valuable  point  in  his  favour. 	If/IN anyone/NN had/VBD chanced/VBN to/TO look/VB this/DT morning/NN before/IN his/PRP$ return/NN ,/, and/CC seen/VBN it/PRP there/RB ,/, it/PRP would/MD have/VB been/VBN a/DT valuable/JJ point/NN in/IN his/PRP$ favour/NN ./.
NomAnaph	The  reaction  after  a  shock  is  always  trying,  and  I  think  we  were  all  suffering  from  it. 	The/DT reaction/NN after/IN a/DT shock/NN is/VBZ always/RB trying/VBG ,/, and/CC I/PRP think/VBP we/PRP were/VBD all/DT suffering/VBG from/IN it/PRP ./.
NomAnaph	Surely  he  could  not  be  unaware  of  the  fact,  conceal  it  as  we  would. 	Surely/RB he/PRP could/MD not/RB be/VB unaware/JJ of/IN the/DT fact/NN ,/, conceal/VB it/PRP as/IN we/PRP would/MD ./.
NomAnaph	It  will  revive  you. 	It/PRP will/MD revive/VB you/PRP ./.
NomAnaph	It  is  unparalleled  for  the  mal  de  tete. 	It/PRP is/VBZ unparalleled/VBN for/IN the/DT mal/NN de/IN tete/NN ./.
NomAnaph	You  abandon  it  in  the  war-time,  eh? 	You/PRP abandon/VBP it/PRP in/IN the/DT war-time/NN ,/, eh/NN ?/.
NomAnaph	No,  I  never  take  it  in  coffee. 	No/DT ,/, I/PRP never/RB take/VBP it/PRP in/IN coffee/NN ./.
NomAnaph	It  puzzled  me,  for  I  saw  no  occasion  for  it. 	It/PRP puzzled/VBD me/PRP ,/, for/IN I/PRP saw/VBD no/DT occasion/NN for/IN it/PRP ./.
NomAnaph	It  puzzled  me,  for  I  saw  no  occasion  for  it. 	It/PRP puzzled/VBD me/PRP ,/, for/IN I/PRP saw/VBD no/DT occasion/NN for/IN it/PRP ./.
NomAnaph	Can  you  give  us  no  help  in  solving  it,  monsieur? 	Can/MD you/PRP give/VB us/PRP no/DT help/NN in/IN solving/VBG it/PRP ,/, monsieur/NN ?/.
NomAnaph	I  did,  but  it  contains  no  information. 	I/PRP did/VBD ,/, but/CC it/PRP contains/VBZ no/DT information/NN ./.
NomAnaph	It  is  merely  a  note  asking  me  to  call  upon  her  this  morning,  as  she  wanted  my  advice  on  a  matter  of  great  importance. 	It/PRP is/VBZ merely/RB a/DT note/NN asking/VBG me/PRP to/TO call/VB upon/IN her/PRP$ this/DT morning/NN ,/, as/IN she/PRP wanted/VBD my/PRP$ advice/NN on/IN a/DT matter/NN of/IN great/JJ importance/NN ./.
ClauseAnaph	It  was,  to  my  mind,  a  very  fair  and  equitable  distribution. 	It/PRP was/VBD ,/, to/TO my/PRP$ mind/NN ,/, a/DT very/RB fair/JJ and/CC equitable/JJ distribution/NN ./.
NomAnaph	Where  is  it  now? 	Where/WRB is/VBZ it/PRP now/RB ?/.
NomAnaph	He  took  out  the  charred  fragment  we  had  found  in  the  grate  in  Mr.s.  Inglethorp's  room,  and  handed  it  to  the  lawyer  with  a  brief  explanation  of  when  and  where  he  had  found  it. 	He/PRP took/VBD out/RP the/DT charred/JJ fragment/NN we/PRP had/VBD found/VBN in/IN the/DT grate/NN in/IN Mr.s/NNP ./. Inglethorp/NNP 's/POS room/NN ,/, and/CC handed/VBD it/PRP to/TO the/DT lawyer/NN with/IN a/DT brief/JJ explanation/NN of/IN when/WRB and/CC where/WRB he/PRP had/VBD found/VBN it/PRP ./.
NomAnaph	He  took  out  the  charred  fragment  we  had  found  in  the  grate  in  Mr.s.  Inglethorp's  room,  and  handed  it  to  the  lawyer  with  a  brief  explanation  of  when  and  where  he  had  found  it. 	He/PRP took/VBD out/RP the/DT charred/JJ fragment/NN we/PRP had/VBD found/VBN in/IN the/DT grate/NN in/IN Mr.s/NNP ./. Inglethorp/NNP 's/POS room/NN ,/, and/CC handed/VBD it/PRP to/TO the/DT lawyer/NN with/IN a/DT brief/JJ explanation/NN of/IN when/WRB and/CC where/WRB he/PRP had/VBD found/VBN it/PRP ./.
NomAnaph	In  fact  I  am  almost  certain  that  it  was  made  no  earlier  than  yesterday  afternoon. 	In/IN fact/NN I/PRP am/VBP almost/RB certain/JJ that/IN it/PRP was/VBD made/VBN no/DT earlier/JJR than/IN yesterday/NN afternoon/NN ./.
ClauseAnaph	If  you  will  allow  me  to  send  for  your  gardener,  I  will  prove  it  to  you. 	If/IN you/PRP will/MD allow/VB me/PRP to/TO send/VB for/IN your/PRP$ gardener/NN ,/, I/PRP will/MD prove/VB it/PRP to/TO you/PRP ./.
NomAnaph	Dorcas  answered  it  in  due  course. 	Dorcas/NN answered/VBD it/PRP in/IN due/JJ course/NN ./.
NomAnaph	Manning  came  slowly  and  hesitatingly  through  the  French  window,  and  stood  as  near  it  as  he  could. 	Manning/VBG came/VBD slowly/RB and/CC hesitatingly/RB through/IN the/DT French/JJ window/NN ,/, and/CC stood/VBD as/IN near/JJ it/PRP as/IN he/PRP could/MD ./.
NomAnaph	He  held  his  cap  in  his  hands,  twisting  it  very  carefully  round  and  round. 	He/PRP held/VBD his/PRP$ cap/NN in/IN his/PRP$ hands/NNS ,/, twisting/VBG it/PRP very/RB carefully/RB round/VB and/CC round/VB ./.
ClauseAnaph	She  just  told  Willum  to  go  on  his  bicycle  down  to  the  village,  and  bring  back  a  form  of  will,  or  such-like...I  don't  know  what  exactly...she  wrote  it  down  for  him. 	She/PRP just/RB told/VBD Willum/NNP to/TO go/VB on/IN his/PRP$ bicycle/NN down/RB to/TO the/DT village/NN ,/, and/CC bring/VB back/RP a/DT form/NN of/IN will/MD ,/, or/CC such-like/NN .../: I/PRP do/VBP n't/RB know/VB what/WP exactly/RB .../: she/PRP wrote/VBD it/PRP down/RP for/IN him/PRP ./.
NomAnaph	What  did  she  do  with  it  afterwards? 	What/WP did/VBD she/PRP do/VB with/IN it/PRP afterwards/NNS ?/.
NomAnaph	Well,  sir,  she  slipped  it  into  a  long  envelope,  and  put  it  inside  a  sort  of  purple  box  that  was  standing  on  the  desk. 	Well/RB ,/, sir/NN ,/, she/PRP slipped/VBD it/PRP into/IN a/DT long/JJ envelope/NN ,/, and/CC put/VBD it/PRP inside/IN a/DT sort/NN of/IN purple/NN box/NN that/WDT was/VBD standing/VBG on/IN the/DT desk/NN ./.
NomAnaph	Well,  sir,  she  slipped  it  into  a  long  envelope,  and  put  it  inside  a  sort  of  purple  box  that  was  standing  on  the  desk. 	Well/RB ,/, sir/NN ,/, she/PRP slipped/VBD it/PRP into/IN a/DT long/JJ envelope/NN ,/, and/CC put/VBD it/PRP inside/IN a/DT sort/NN of/IN purple/NN box/NN that/WDT was/VBD standing/VBG on/IN the/DT desk/NN ./.
ClauseAnaph	Mr.  Wells  cleared  his  throat  and  remarked  drily:  Are  you  so  sure  it  is  a  coincidence,  Cavendish? 	Mr./NNP Wells/NNP cleared/VBD his/PRP$ throat/NN and/CC remarked/VBD drily/RB :/: Are/VBP you/PRP so/IN sure/JJ it/PRP is/VBZ a/DT coincidence/NN ,/, Cavendish/NNP ?/.
NomAnaph	John,  I  think,  would  have  pressed  his  questions  further,  but  at  that  moment  the  loud  purr  of  a  motor  was  audible,  and  we  all  turned  to  the  window  as  it  swept  past. 	John/NNP ,/, I/PRP think/VBP ,/, would/MD have/VB pressed/VBN his/PRP$ questions/NNS further/RBR ,/, but/CC at/IN that/DT moment/NN the/DT loud/JJ purr/NN of/IN a/DT motor/NN was/VBD audible/JJ ,/, and/CC we/PRP all/DT turned/VBD to/TO the/DT window/NN as/IN it/PRP swept/VBD past/RB ./.
NomAnaph	How  soon,  and  how  contemptuously,  I  had  dismissed  it  from  my  mind. 	How/WRB soon/RB ,/, and/CC how/WRB contemptuously/RB ,/, I/PRP had/VBD dismissed/VBN it/PRP from/IN my/PRP$ mind/NN ./.
ClauseAnaph	Now  he's  done  it. 	Now/RB he/PRP 's/VBZ done/VBN it/PRP ./.
ClauseAnaph	Find  out  how  he  did  it. 	Find/VB out/RP how/WRB he/PRP did/VBD it/PRP ./.
ClauseAnaph	Don't  think  she  ever  realized  it,  though,  or  felt  the  lack  of  it. 	Do/VBP n't/RB think/VB she/PRP ever/RB realized/VBD it/PRP ,/, though/RB ,/, or/CC felt/VBD the/DT lack/NN of/IN it/PRP ./.
NomAnaph	Don't  think  she  ever  realized  it,  though,  or  felt  the  lack  of  it. 	Do/VBP n't/RB think/VB she/PRP ever/RB realized/VBD it/PRP ,/, though/RB ,/, or/CC felt/VBD the/DT lack/NN of/IN it/PRP ./.
NomAnaph	Taking  the  keys  from  Poirot,  John  unlocked  it,  and  we  all  passed  in. 	Taking/VBG the/DT keys/NN from/IN Poirot/NNP ,/, John/NNP unlocked/VBD it/PRP ,/, and/CC we/PRP all/DT passed/VBN in/IN ./.
NomAnaph	I  locked  it,  out  of  precaution,  this  morning. 	I/PRP locked/VBD it/PRP ,/, out/IN of/IN precaution/NN ,/, this/DT morning/NN ./.
NomAnaph	But  it's  not  locked  now. 	But/CC it/PRP 's/VBZ not/RB locked/VBN now/RB ./.
NomAnaph	But  who  forced  it? 	But/CC who/WP forced/VBD it/PRP ?/.
NomAnaph	As  to  the  door  being  locked,  it  is  a  very  ordinary  lock. 	As/IN to/TO the/DT door/NN being/VBG locked/VBN ,/, it/PRP is/VBZ a/DT very/RB ordinary/JJ lock/NN ./.
NomAnaph	Probably  any  other  of  the  doorkeys  in  this  passage  would  fit  it. 	Probably/RB any/DT other/JJ of/IN the/DT doorkeys/NN in/IN this/DT passage/NN would/MD fit/VB it/PRP ./.
NomAnaph	It  was  vital  to  him  that  it  should  be  destroyed  before  it  was  discovered  and  its  significance  appreciated. 	It/PRP was/VBD vital/JJ to/TO him/PRP that/IN it/PRP should/MD be/VB destroyed/VBN before/IN it/PRP was/VBD discovered/VBN and/CC its/PRP$ significance/NN appreciated/VBN ./.
NomAnaph	It  was  vital  to  him  that  it  should  be  destroyed  before  it  was  discovered  and  its  significance  appreciated. 	It/PRP was/VBD vital/JJ to/TO him/PRP that/IN it/PRP should/MD be/VB destroyed/VBN before/IN it/PRP was/VBD discovered/VBN and/CC its/PRP$ significance/NN appreciated/VBN ./.
NomAnaph	Finding  the  case  locked,  he  was  obliged  to  force  it,  thus  betraying  his  presence. 	Finding/VBG the/DT case/NN locked/VBD ,/, he/PRP was/VBD obliged/VBN to/TO force/VB it/PRP ,/, thus/RB betraying/VBG his/PRP$ presence/NN ./.
NomAnaph	I  should  have  carried  it  away  with  me. 	I/PRP should/MD have/VB carried/VBN it/PRP away/RB with/IN me/PRP ./.
NomAnaph	And  now  it  is  gone. 	And/CC now/RB it/PRP is/VBZ gone/VBN ./.
NomAnaph	It  is  destroyed...but  is  it  destroyed? 	It/PRP is/VBZ destroyed/VBN .../: but/CC is/VBZ it/PRP destroyed/RP ?/.
NomAnaph	It  is  destroyed...but  is  it  destroyed? 	It/PRP is/VBZ destroyed/VBN .../: but/CC is/VBZ it/PRP destroyed/RP ?/.
NomAnaph	It  would  clear  the  air. 	It/PRP would/MD clear/VB the/DT air/NN ./.
NomAnaph	I  really  wonder  that  I  did  not  think  of  it  myself. 	I/PRP really/RB wonder/VBP that/IN I/PRP did/VBD not/RB think/VB of/IN it/PRP myself/PRP ./.
NomAnaph	What  was  it? 	What/WP was/VBD it/PRP ?/.
NomAnaph	It  must  have  been  made  just  at  the  time  they  were  engaged. 	It/PRP must/MD have/VB been/VBN made/VBN just/RB at/IN the/DT time/NN they/PRP were/VBD engaged/VBN ./.
NomAnaph	It  came  quite  as  a  surprise  to  Wells...and  to  John  Cavendish  also. 	It/PRP came/VBD quite/RB as/IN a/DT surprise/NN to/TO Wells/NNP .../: and/CC to/TO John/NNP Cavendish/NNP also/RB ./.
NomAnaph	It  was  written  on  one  of  those  printed  will  forms,  and  witnessed  by  two  of  the  servants...not  Dorcas. 	It/PRP was/VBD written/VBN on/IN one/CD of/IN those/DT printed/VBN will/MD forms/VB ,/, and/CC witnessed/VBN by/IN two/CD of/IN the/DT servants/NNS .../: not/RB Dorcas/NNP ./.
NomAnaph	Did  Mr.  Inglethorp  know  of  it? 	Did/NNP Mr./NNP Inglethorp/NNP know/VBP of/IN it/PRP ?/.
